instance,g_best_cost,g_n_v,g_avg_time,sa_avg_cost,sa_best_cost,sa_n_v,sa_avg_time,ig_avg_cost,ig_best_cost,ig_n_v,ig_avg_time,gap
RC101,627.70,5,18000.0,628.68,627.70,5,124.6,687.087344,648.295518,6,0.014267,3.281
RC102,546.80,5,18000.0,552.48,538.30,5,149.1,601.771858,548.13672,5,0.019967,1.827
RC103,468.30,5,18000.0,468.3,468.30,5,108.8,482.877594,469.153076,5,0.018067,0.182
RC104,594.50,5,18000.0,546.1,546.10,5,143.1,582.951479,552.530639,5,0.0233,1.178
RC105,581.00,6,18000.0,581.68,579.80,6,180.8,594.157462,581.431314,6,0.015533,0.281
RC106,556.70,5,18000.0,555.6,555.60,5,115.2,612.417107,591.65764,6,0.0163,6.49
RC107,646.60,6,18000.0,578.8,578.80,5,143.1,640.911962,618.523769,6,0.015833,6.863
RC108,538.60,5,18000.0,532.82,532.80,5,105.9,547.244507,533.570233,5,0.02,0.145
RC201,538.50,4,18000.0,539.14,538.50,4,145.6,643.801574,554.851653,4,0.0198,3.037
RC202,419.20,3,18000.0,415.24,412.60,3,126.8,474.130322,413.394409,3,0.018833,0.193
RC203,481.30,4,18000.0,415.46,415.00,3,110.7,454.855341,415.565828,3,0.021033,0.136
RC204,362.20,2,18000.0,332.3,332.30,1,99.4,370.672928,357.916792,2,0.023333,7.709
RC205,448.70,4,18000.0,441.04,440.80,4,195,509.298918,454.662414,3,0.0198,3.145
RC206,471.00,3,18000.0,470.84,470.20,3,200.9,502.866845,475.163409,3,0.018267,1.056
RC207,407.50,3,18000.0,355.76,352.50,1,120.7,387.976108,359.226673,1,0.025067,1.908
RC208,271.20,2,18000.0,243.7,243.70,1,160.4,303.016899,257.716732,2,0.022867,5.752
